#  1948         2011
 1994   -0.265   -0.281   -0.252   -0.168   -0.179   -0.194   -0.201   -0.200   -0.110   -0.015    0.012   -0.068
 1995   -0.038   -0.010    0.049    0.105    0.292    0.395    0.344    0.214    0.086    0.129    0.148    0.063
 1996    0.014   -0.007   -0.034    0.034   -0.041   -0.100   -0.081    0.021    0.029   -0.119   -0.148   -0.125
 1997   -0.060   -0.006    0.033    0.033    0.061    0.039    0.093    0.046    0.135    0.175    0.072    0.156
 1998    0.158    0.319    0.349    0.323    0.404    0.517    0.520    0.548    0.449    0.418    0.353    0.308
 1999    0.081    0.086    0.099    0.086    0.196    0.221    0.236    0.347    0.226    0.061   -0.007    0.048
 2000   -0.054   -0.011    0.131    0.076    0.136    0.015    0.106    0.135    0.137   -0.005   -0.015   -0.091
 2001   -0.090    0.008    0.053    0.026    0.018    0.229    0.173    0.218    0.331    0.297    0.193    0.242
 2002    0.209    0.198    0.179    0.063   -0.016   -0.082   -0.026    0.146    0.121    0.152    0.055    0.037
 2003    0.084    0.016    0.138    0.107    0.185    0.242    0.322    0.461    0.490    0.463    0.259    0.258
 2004    0.241    0.240    0.188    0.143    0.029    0.208    0.266    0.353    0.275    0.280    0.264    0.224
 2005    0.146    0.156    0.315    0.327    0.322    0.360    0.488    0.478    0.457    0.274    0.170    0.248
 2006    0.154    0.102    0.089    0.231    0.339    0.370    0.417    0.448    0.406    0.373    0.315    0.201
 2007    0.202    0.246    0.160    0.194    0.144    0.125    0.171    0.096    0.138    0.198    0.213    0.143
 2008    0.061    0.159    0.194    0.080    0.202    0.297    0.247    0.210    0.237    0.139    0.040    0.058
 2009   -0.022   -0.128   -0.129   -0.094   -0.030    0.161    0.268    0.191    0.096    0.208    0.107    0.122
 2010    0.077    0.210    0.322    0.466    0.495    0.485    0.492    0.569    0.491    0.367    0.278    0.249
 2011    0.182    0.144    0.092    0.129    0.182    0.215    0.136    0.189    0.192  -99.990  -99.990  -99.990
#  -99.99
#  AMO unsmoothed, detrended from the Kaplan SST V2
#  Calculated at NOAA/ESRL/PSD1
#  http://www.esrl.noaa.gov/psd/data/timeseriesimeseries/AMO/
